epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,259.804,0.39096,0.34385,0.86149,0.9011,0.86719,0.92575,0.6722,0.44733,0.41367,0.76039,0.000884938,0.000884938,0.000884938
61,264.308,0.38901,0.3492,0.85459,0.8396,0.9064,0.9043,0.66377,0.44552,0.39637,0.75451,0.00087875,0.00087875,0.00087875
62,268.543,0.38602,0.35377,0.86052,0.86663,0.96465,0.94873,0.66547,0.44507,0.3572,0.75484,0.000872563,0.000872563,0.000872563
63,272.532,0.3878,0.34314,0.8597,0.86188,0.94668,0.93147,0.67744,0.43489,0.34164,0.74466,0.000866375,0.000866375,0.000866375
64,276.92,0.38774,0.33768,0.85497,0.87037,0.94827,0.93181,0.67143,0.44771,0.3548,0.75257,0.000860188,0.000860188,0.000860188
65,281.337,0.37985,0.33429,0.85567,0.86009,0.92308,0.9159,0.66699,0.44642,0.37512,0.75815,0.000854,0.000854,0.000854
66,285.74,0.37555,0.32515,0.86001,0.90637,0.9199,0.93511,0.68511,0.44307,0.35843,0.75754,0.000847813,0.000847813,0.000847813
67,289.947,0.38173,0.33047,0.85462,0.88007,0.91505,0.94966,0.6923,0.44102,0.36352,0.74313,0.000841625,0.000841625,0.000841625
68,294.198,0.38066,0.32803,0.85636,0.87024,0.93532,0.93962,0.68784,0.45249,0.34856,0.74889,0.000835438,0.000835438,0.000835438
69,298.278,0.38928,0.32871,0.86435,0.86904,0.93121,0.94669,0.67937,0.44041,0.35437,0.74442,0.00082925,0.00082925,0.00082925
70,302.578,0.38355,0.3445,0.85679,0.88369,0.93411,0.94521,0.67341,0.43546,0.38017,0.7462,0.000823063,0.000823063,0.000823063
71,306.8,0.38416,0.34772,0.85849,0.92537,0.90763,0.93769,0.64845,0.44776,0.38921,0.74893,0.000816875,0.000816875,0.000816875
72,311.051,0.3731,0.32609,0.85937,0.91024,0.92639,0.95672,0.67024,0.46977,0.34362,0.75988,0.000810688,0.000810688,0.000810688
73,315.252,0.38867,0.3433,0.86068,0.85886,0.92194,0.93784,0.67683,0.45192,0.3578,0.75393,0.0008045,0.0008045,0.0008045
74,319.716,0.3788,0.32263,0.8525,0.87527,0.95412,0.9586,0.68518,0.44476,0.37466,0.75238,0.000798313,0.000798313,0.000798313
75,324.003,0.37314,0.32088,0.85497,0.89499,0.92277,0.96021,0.68677,0.43969,0.36136,0.7526,0.000792125,0.000792125,0.000792125
76,328.397,0.37694,0.33124,0.85324,0.84346,0.94088,0.93776,0.67536,0.44325,0.35478,0.75012,0.000785938,0.000785938,0.000785938
77,332.797,0.37284,0.31679,0.85298,0.87243,0.95513,0.94534,0.68838,0.43714,0.37193,0.74682,0.00077975,0.00077975,0.00077975
78,336.968,0.36605,0.31547,0.84913,0.86382,0.92925,0.94058,0.67238,0.42541,0.36152,0.74054,0.000773563,0.000773563,0.000773563
79,341.054,0.37648,0.31864,0.84872,0.87612,0.93387,0.94315,0.66772,0.43127,0.34326,0.74793,0.000767375,0.000767375,0.000767375
80,345.295,0.37269,0.31338,0.85538,0.90517,0.9596,0.95291,0.68647,0.4246,0.36731,0.73942,0.000761188,0.000761188,0.000761188
